walk_direction,commanded_step_length_m,commanded_step_height_m,controller,n,success_count,success_rate,success_wilson_95_low,success_wilson_95_high,valid_count,valid_rate,valid_wilson_95_low,valid_wilson_95_high,self_valid_mean_cmt,self_valid_sample_sd_cmt,self_valid_median_cmt,self_valid_q25_cmt,self_valid_q75_cmt,route_positive_count,route_negative_count,route_active_count,route_hard_mask_count
-1.0,0.4,0.02,positive_expert,600,271,0.45166666666666666,0.4122795880670931,0.4916687096975647,131,0.21833333333333332,0.1871263720828225,0.2531240528215622,0.5407167966498295,0.6940206911405332,0.3503814284783146,0.09753909300527827,0.7490143831562242,600,0,0,0
-1.0,0.4,0.02,negative_expert,600,348,0.58,0.5401214133886778,0.61886071444913,168,0.28,0.24555996300347405,0.31723918544255436,0.4732568202670623,1.146014059407707,0.12388924551348335,0.048631248281385195,0.3040755731925936,0,600,0,0
-1.0,0.4,0.02,proposed_phase_aware_three_expert,600,376,0.6266666666666667,0.5872732284030916,0.664448474006771,183,0.305,0.2694973623831972,0.34298370101214615,0.8251616775884547,1.9258050857902702,0.18429478886822423,0.06497342514952699,0.7554147160970857,15,313,272,0
-1.0,0.4,0.02,released_two_expert_selector,600,369,0.615,0.5754505349201839,0.653086273846665,174,0.29,0.2551191238284465,0.3275527905973079,0.5720496409648091,1.217536030960486,0.13196847179462318,0.05042314217004042,0.5095390333811552,96,504,0,0
-1.0,0.4,0.02,true_hard_mask,600,379,0.6316666666666667,0.5923473624908886,0.6693107229088371,179,0.29833333333333334,0.26310128834817,0.3361312643940227,1.7783175795122326,2.8295452062122757,1.1058329117063619,0.5852705759881607,1.9165806872401985,0,0,0,600
1.0,0.3,0.0,active,600,226,0.37666666666666665,0.3387954576858182,0.41610709523089473,123,0.205,0.17462270619616488,0.23913069740191856,1.418072809440491,2.7089266800494505,0.4455986652616141,0.17690045476868044,1.1865630125926168,0,0,600,0
1.0,0.3,0.0,positive_expert,600,178,0.2966666666666667,0.2615036970694153,0.3344167280094898,127,0.21166666666666667,0.1808681087580246,0.24613380549320954,0.0956780334403179,0.16364800553226652,0.0408634445782639,0.023148425817424316,0.08087572885410094,600,0,0,0
1.0,0.3,0.0,negative_expert,600,202,0.33666666666666667,0.2999991284980691,0.3754123604997399,117,0.195,0.165279730474359,0.22860090714399844,0.3201775138916213,0.5396350584515828,0.1192654900609738,0.07145466589518203,0.34573296531805364,0,600,0,0
1.0,0.3,0.0,proposed_phase_aware_three_expert,600,221,0.36833333333333335,0.3306892770911631,0.40765263750911157,136,0.22666666666666666,0.19496664476548947,0.26184441845533357,0.6728009595773345,2.065091850583149,0.07715014369013126,0.03380573961378891,0.32825078609525127,131,32,437,0
1.0,0.3,0.0,released_two_expert_selector,600,205,0.3416666666666667,0.3048327476564238,0.3805151243312482,124,0.20666666666666667,0.1761828266922091,0.24088270456916197,0.15763598259946765,0.4355297113701318,0.041338809486964855,0.02289530814015966,0.08016410495504318,413,187,0,0
