walk_direction,commanded_step_length_m,commanded_step_height_m,first,second,n,first_success_count,second_success_count,success_difference_pp,second_only_success_count,first_only_success_count,exact_two_sided_mcnemar_p,common_valid_count,common_valid_fraction_of_first_valid,common_valid_fraction_of_second_valid,first_common_mean_cmt,first_common_sample_sd_cmt,second_common_mean_cmt,second_common_sample_sd_cmt,second_minus_first_mean_cmt,ratio_of_means_reduction,second_lower_fraction,cmt_tie_fraction
-1.0,0.35,0.02,active,proposed_phase_aware_three_expert,600,369,359,-1.6666666666666607,2,12,0.012939453125,178,0.978021978021978,0.9888888888888889,1.3116337498919088,3.3988147140264426,0.8983874395727507,3.0161720746093748,-0.41324631031915804,0.315062272797733,0.3146067415730337,0.6123595505617978
-1.0,0.35,0.02,true_hard_mask,proposed_phase_aware_three_expert,600,348,359,1.8333333333333424,27,16,0.12628947438543037,165,0.9649122807017544,0.9166666666666666,1.5712640804500462,2.3659282494610756,0.8718764807406847,3.1110595600410416,-0.6993875997093614,0.44511142869697673,0.8424242424242424,0.0
-1.0,0.35,0.02,released_two_expert_selector,proposed_phase_aware_three_expert,600,354,359,0.8333333333333415,16,11,0.44206833839416504,172,0.9717514124293786,0.9555555555555556,0.7397049635552224,3.0823461239910235,0.9212635801635959,3.127091630495125,0.1815586166083734,-0.24544734124231593,0.20930232558139536,0.42441860465116277
-1.0,0.35,0.02,active,true_hard_mask,600,369,348,-3.500000000000003,7,28,0.0005082604475319386,167,0.9175824175824175,0.9766081871345029,1.3024297391207353,3.493936053561402,1.5409769057079983,2.3496101258743978,0.238547166587263,-0.18315549731558267,0.2934131736526946,0.0
-1.0,0.4,0.0,active,proposed_phase_aware_three_expert,600,353,342,-1.8333333333333424,3,14,0.012725830078125,159,0.9520958083832335,0.9695121951219512,1.3071862375815395,1.5838717661881123,0.5135391265551569,0.991366790102559,-0.7936471110263827,0.6071415749409438,0.7044025157232704,0.27044025157232704
-1.0,0.4,0.0,true_hard_mask,proposed_phase_aware_three_expert,600,347,342,-0.8333333333333415,14,19,0.48685024166479707,153,0.9444444444444444,0.9329268292682927,1.5427357169022844,1.706900901009913,0.4807389105221149,0.9805282466316702,-1.0619968063801692,0.6883854407108638,0.8954248366013072,0.013071895424836602
-1.0,0.4,0.0,released_two_expert_selector,proposed_phase_aware_three_expert,600,336,342,0.9999999999999898,16,10,0.32693958282470703,154,0.9808917197452229,0.9390243902439024,0.3191561107551022,0.4675305485640837,0.4274045637498885,0.5956219548667157,0.10824845299478632,-0.3391708613652349,0.08441558441558442,0.6558441558441559
-1.0,0.4,0.0,active,true_hard_mask,600,353,347,-1.0000000000000009,6,12,0.237884521484375,160,0.9580838323353293,0.9876543209876543,1.3728721051878616,1.7620120611584642,1.6368245077109147,1.951930262527398,0.2639524025230532,-0.19226292203448492,0.34375,0.0375
-1.0,0.4,0.01,active,proposed_phase_aware_three_expert,600,355,338,-2.833333333333332,5,22,0.0015137195587158203,139,0.9328859060402684,0.9455782312925171,1.4656810156500526,2.0620309122813274,0.5731729061286095,1.1811546459998001,-0.8925081095214431,0.608937483662229,0.7050359712230215,0.2446043165467626
-1.0,0.4,0.01,true_hard_mask,proposed_phase_aware_three_expert,600,349,338,-1.8333333333333313,15,26,0.11727520595741225,137,0.9319727891156463,0.9319727891156463,1.5882344463235072,2.304166120185924,0.5550444746109503,1.4374172438248818,-1.0331899717125568,0.6505273664755327,0.927007299270073,0.0
-1.0,0.4,0.01,released_two_expert_selector,proposed_phase_aware_three_expert,600,340,338,-0.33333333333332993,10,12,0.8318119049072266,142,0.9726027397260274,0.9659863945578231,0.487786805654426,1.2691065055921238,0.5993119378717696,1.44359678618835,0.11152513221734352,-0.22863499160810408,0.09154929577464789,0.6971830985915493
-1.0,0.4,0.01,active,true_hard_mask,600,355,349,-1.0000000000000009,9,15,0.30745625495910645,141,0.9463087248322147,0.9591836734693877,1.337928650783699,1.9030104501761393,1.5870052402420336,2.2445705293743448,0.24907658945833458,-0.18616582379967483,0.375886524822695,0.028368794326241134
-1.0,0.4,0.02,active,proposed_phase_aware_three_expert,600,388,376,-1.9999999999999907,2,14,0.004180908203125,177,0.9516129032258065,0.9672131147540983,1.403589126298146,2.1229242787344544,0.7738141762073336,1.8404927683460135,-0.6297749500908122,0.44868896338046826,0.672316384180791,0.22598870056497175
-1.0,0.4,0.02,true_hard_mask,proposed_phase_aware_three_expert,600,379,376,-0.5000000000000004,17,20,0.7428293587290682,172,0.9608938547486033,0.9398907103825137,1.6566573159419462,1.9705127865026266,0.48497647697488805,0.7059201055750289,-1.1716808389670579,0.7072560074386061,0.8837209302325582,0.0
-1.0,0.4,0.02,released_two_expert_selector,proposed_phase_aware_three_expert,600,369,376,1.1666666666666714,11,4,0.11846923828124999,174,1.0,0.9508196721311475,0.5720496409648091,1.217536030960486,0.6345654165443408,1.4637269221996365,0.06251577557953165,-0.10928382976360873,0.09770114942528736,0.7758620689655172
-1.0,0.4,0.02,active,true_hard_mask,600,388,379,-1.4999999999999902,12,21,0.16275565745308995,174,0.9354838709677419,0.9720670391061452,1.1701344271816199,1.458048032347026,1.6043974926711706,1.8939204252486315,0.43426306548955057,-0.37112237312384244,0.3218390804597701,0.011494252873563218
1.0,0.3,0.0,active,proposed_phase_aware_three_expert,600,226,221,-0.8333333333333304,4,9,0.266845703125,118,0.959349593495935,0.8676470588235294,1.4198653649141284,2.763001007245993,0.7151993363342645,2.2033588617016377,-0.7046660285798638,0.4962907371308978,0.5847457627118644,0.4067796610169492
1.0,0.3,0.0,true_hard_mask,proposed_phase_aware_three_expert,600,211,221,1.6666666666666663,23,13,0.13249816396273675,95,0.9693877551020408,0.6985294117647058,1.2401329908858076,2.3280555359888955,0.7336362020585488,2.4108248621034445,-0.5064967888272587,0.40842134879862846,0.6947368421052632,0.0
1.0,0.3,0.0,released_two_expert_selector,proposed_phase_aware_three_expert,600,205,221,2.666666666666667,21,5,0.002493917942047119,121,0.9758064516129032,0.8897058823529411,0.12629866457202268,0.29751720039714685,0.5227701321217213,1.6950334637696736,0.39647146754969864,-3.139158033801759,0.024793388429752067,0.7107438016528925
1.0,0.3,0.0,active,true_hard_mask,600,226,211,-2.4999999999999964,11,26,0.020073851919732988,92,0.7479674796747967,0.9387755102040817,1.2470152690490919,2.7332387178565645,1.2579024463514987,2.3601622905868562,0.010887177302406896,-0.008730588608356626,0.4782608695652174,0.0
1.0,0.3,0.01,active,proposed_phase_aware_three_expert,600,215,219,0.6666666666666654,10,6,0.454498291015625,125,0.9765625,0.8741258741258742,1.3580505832102143,2.538851112428155,0.7276348322116433,1.6824877403587222,-0.6304157509985712,0.4642063843515821,0.512,0.456
1.0,0.3,0.01,true_hard_mask,proposed_phase_aware_three_expert,600,211,219,1.3333333333333308,17,9,0.16863754391670227,105,0.9375,0.7342657342657343,1.2952970690865824,1.9153136002283824,0.7791121864357488,1.7651534746351178,-0.5161848826508337,0.39850694869157455,0.6761904761904762,0.0
1.0,0.3,0.01,released_two_expert_selector,proposed_phase_aware_three_expert,600,202,219,2.833333333333332,20,3,0.00048828125,131,0.9225352112676056,0.916083916083916,0.21181768504556572,0.7030194439690775,0.61963775996819,1.5260298843492848,0.4078200749226244,-1.92533534126244,0.030534351145038167,0.6717557251908397
1.0,0.3,0.01,active,true_hard_mask,600,215,211,-0.6666666666666654,10,14,0.5412561893463135,101,0.7890625,0.9017857142857143,1.3083741354029816,2.606648626205301,1.2304661006875648,1.8931188227874785,-0.0779080347154168,0.059545685448314845,0.504950495049505,0.019801980198019802
1.0,0.3,0.02,active,proposed_phase_aware_three_expert,600,227,229,0.33333333333332993,11,9,0.8238029479980469,131,0.9424460431654677,0.8343949044585988,1.481208970834724,2.1956433819947403,0.8056361473515158,1.6232553591903867,-0.6755728234832086,0.4560955522045578,0.5114503816793893,0.4580152671755725
